Player,Age,Matches,Innings,Runs,Balls_Faced,Batting_Average,Strike_Rate,Fifties,Hundreds,Wickets,Catches,Performance_Score
Player_001,31,122,111,5549,7252,94.05,77.03,6,10,51.0,46,100.0
Player_002,28,112,100,5472,6372,420.92,89.34,35,11,84.0,20,100.0
Player_003,36,34,32,2007,2504,74.33,83.23,19,12,99.0,79,100.0
Player_004,26,126,112,3077,4477,439.57,69.23,0,12,52.0,74,100.0
Player_005,26,91,85,6091,7006,174.03,83.88,7,11,22.0,35,100.0
Player_006,25,40,40,2033,3660,50.82,54.74,15,14,15.0,18,100.0
Player_007,26,122,119,5835,7350,208.39,83.85,13,13,56.0,19,100.0
Player_008,32,141,129,5231,6489,52.84,83.25,11,1,38.0,56,100.0
Player_009,37,94,91,3810,5128,381.0,73.0,22,12,108.0,17,100.0
Player_010,24,107,94,502,1002,7.17,49.07,14,2,52.0,46,43.08
Player_011,19,136,132,3555,4294,40.4,77.6,27,1,41.0,48,100.0
Player_012,33,119,113,4518,5674,47.06,83.96,33,2,57.0,13,100.0
Player_013,19,123,117,4796,5583,,88.56,1,6,38.0,14,100.0
Player_014,35,150,138,1066,1625,133.25,65.19,31,0,13.0,30,100.0
Player_015,19,72,58,4689,5743,246.79,82.25,22,9,94.0,0,100.0
Player_016,33,21,11,2627,3196,262.7,75.68,21,7,4.0,53,100.0
Player_017,20,107,95,3231,4729,58.75,66.86,24,12,34.0,2,100.0
Player_018,32,57,54,497,1642,82.83,45.0,21,9,86.0,15,100.0
Player_019,26,149,137,2230,3079,26.87,75.37,21,9,92.0,56,100.0
Player_020,26,40,34,3882,5675,258.8,69.4,5,9,106.0,74,100.0
Player_021,37,77,67,908,1045,75.67,86.85,14,13,74.0,11,100.0
Player_022,25,41,39,3572,3901,119.07,93.96,32,1,17.0,73,100.0
Player_023,37,108,103,1447,2935,26.31,48.46,7,2,110.0,15,86.94
Player_024,24,68,57,4582,5244,93.51,82.38,4,8,75.0,71,100.0
Player_025,24,78,77,3697,4234,77.02,87.3,3,6,8.0,75,100.0
Player_026,21,34,25,2811,4217,312.33,67.87,5,3,73.0,23,100.0
Player_027,25,70,58,2094,2220,209.4,97.69,31,9,,27,100.0
Player_028,37,127,114,959,1284,31.97,70.36,29,4,107.0,7,100.0
Player_029,26,74,66,3111,4511,53.64,68.6,34,1,16.0,35,100.0
Player_030,28,83,79,6351,7248,88.21,87.4,15,12,101.0,7,100.0
Player_031,38,150,145,1669,3401,72.57,45.77,12,10,,57,100.0
Player_032,33,70,59,2286,2669,95.25,87.11,29,12,45.0,59,100.0
Player_033,33,40,29,5930,6908,1186.0,88.08,18,7,12.0,49,100.0
Player_034,19,92,81,446,1505,18.58,45.0,16,3,39.0,27,62.34
Player_035,38,37,26,3519,5123,167.57,74.86,18,8,41.0,40,100.0
Player_036,25,108,105,3211,3763,200.69,84.37,27,4,8.0,63,100.0
Player_037,22,79,66,2034,3153,39.88,63.17,25,12,49.0,26,100.0
Player_038,24,33,20,2143,3058,428.6,68.65,25,8,26.0,62,100.0
Player_039,19,28,18,788,1546,56.29,48.52,22,3,65.0,16,100.0
Player_040,23,109,100,3276,4915,182.0,64.98,8,9,4.0,72,100.0
Player_041,19,72,66,2259,2905,53.79,73.46,11,4,28.0,32,100.0
Player_042,22,149,138,6059,7374,147.78,81.59,0,8,36.0,76,100.0
Player_043,20,103,95,2685,3857,179.0,69.79,0,7,37.0,28,100.0
Player_044,28,111,105,3219,4854,30.95,59.47,33,15,82.0,12,100.0
Player_045,23,130,117,5036,5152,62.17,97.44,31,2,7.0,45,100.0
Player_046,28,27,27,2102,3397,140.13,62.0,24,0,111.0,34,100.0
Player_047,19,54,54,6365,7708,909.29,84.12,0,2,108.0,5,100.0
Player_048,24,100,92,5834,6091,157.68,99.39,15,15,64.0,68,100.0
Player_049,31,69,59,4361,4937,436.1,90.89,4,3,85.0,46,100.0
Player_050,33,123,110,3669,4838,67.94,73.98,21,1,115.0,24,100.0
Player_051,22,21,13,6030,7526,502.5,77.91,28,0,16.0,65,100.0
Player_052,31,73,70,562,1179,40.14,49.41,2,6,70.0,9,82.68
Player_053,38,125,113,6183,6381,687.0,95.26,11,15,88.0,55,100.0
Player_054,33,23,15,923,2083,83.91,45.0,25,7,44.0,29,100.0
Player_055,26,73,71,1316,1695,94.0,84.76,15,6,3.0,4,100.0
Player_056,23,63,57,3943,5415,82.15,71.88,21,13,35.0,32,100.0
Player_057,33,33,28,5276,5872,879.33,87.97,28,15,69.0,64,100.0
Player_058,22,114,107,2349,2750,138.18,78.84,13,4,30.0,17,100.0
Player_059,30,67,57,5723,6003,130.07,97.89,27,11,18.0,48,100.0
Player_060,31,34,26,4023,4729,670.5,82.11,4,0,60.0,10,100.0
Player_061,20,59,46,4848,6070,,79.95,29,6,107.0,25,100.0
Player_062,37,101,97,3408,4207,49.39,83.91,4,12,53.0,62,100.0
Player_063,37,130,130,5579,6671,83.27,80.71,11,6,38.0,58,100.0
Player_064,22,72,70,4390,5629,209.05,78.23,15,8,90.0,26,100.0
Player_065,22,43,34,2356,2646,181.23,93.61,25,2,73.0,48,100.0
Player_066,29,143,132,3470,3822,43.92,83.42,25,8,89.0,76,100.0
Player_067,23,60,53,1982,3062,104.32,62.3,20,13,18.0,32,100.0
Player_068,38,34,20,2555,3582,212.92,68.62,35,0,38.0,0,100.0
Player_069,29,64,54,1454,2738,34.62,52.54,32,0,66.0,20,100.0
Player_070,28,84,79,4799,6178,123.05,77.54,29,13,44.0,54,100.0
Player_071,26,108,101,6497,7943,66.3,78.61,22,3,12.0,5,100.0
Player_072,24,90,82,3491,3718,65.87,91.93,9,15,113.0,80,100.0
Player_073,24,28,25,1996,2113,221.78,92.14,4,8,91.0,68,100.0
Player_074,26,107,107,4291,4956,65.02,85.53,35,5,57.0,4,100.0
Player_075,33,148,135,5023,5692,61.26,88.9,33,12,19.0,2,100.0
Player_076,32,82,82,4982,6428,63.06,80.24,30,10,91.0,52,100.0
Player_077,29,100,91,1948,2733,149.85,74.44,9,2,71.0,22,100.0
Player_078,30,52,49,5839,6564,153.66,90.92,18,0,60.0,52,100.0
Player_079,31,142,131,1745,3156,21.81,52.67,31,3,104.0,36,100.0
Player_080,26,24,11,4499,5452,642.71,82.51,0,11,38.0,73,100.0
Player_081,36,60,54,4223,6009,108.28,77.4,4,12,0.0,73,100.0
Player_082,19,47,46,553,1614,110.6,45.0,3,8,2.0,16,100.0
Player_083,33,91,89,3483,5245,79.16,65.08,15,2,76.0,77,100.0
Player_084,26,31,31,2857,3111,109.88,96.58,23,11,91.0,72,100.0
Player_085,29,52,48,5892,6481,178.55,89.75,15,8,61.0,0,100.0
Player_086,30,67,67,398,1907,33.17,45.0,1,6,120.0,50,82.03
Player_087,30,81,74,2500,3384,166.67,,27,11,62.0,44,100.0
Player_088,22,56,56,6280,7507,139.56,79.73,31,13,112.0,76,100.0
Player_089,34,118,108,3261,4777,31.06,62.52,26,14,24.0,3,100.0
Player_090,22,123,123,6315,6660,350.83,97.64,19,15,55.0,61,100.0
Player_091,23,54,53,5273,6572,155.09,80.32,23,3,32.0,64,100.0
Player_092,23,120,119,4733,5895,121.36,80.67,11,2,37.0,31,100.0
Player_093,26,150,139,4077,5677,453.0,70.73,34,9,116.0,33,100.0
Player_094,28,20,15,3169,4027,452.71,,32,14,5.0,71,100.0
Player_095,35,24,18,3534,4171,235.6,83.35,32,15,57.0,38,100.0
Player_096,27,122,118,4091,5111,49.89,78.17,11,4,43.0,25,100.0
Player_097,37,46,46,1256,1763,41.87,70.1,2,4,44.0,33,100.0
Player_098,32,34,34,6100,6724,179.41,89.48,0,2,31.0,53,100.0
Player_099,26,109,107,4367,5294,545.88,80.0,32,11,44.0,2,100.0
Player_100,27,61,48,460,2089,15.86,45.0,9,8,60.0,49,73.07
